Date,Open,High,Low,Close,Adj_Close,Volume
2015/1/2,44.574001,44.650002,42.652,43.862,43.862,23822000
2015/1/5,42.91,43.299999,41.431999,42.018002,42.018002,26842500
2015/1/6,42.012001,42.84,40.841999,42.256001,42.256001,31309500
2015/1/7,42.669998,42.956001,41.956001,42.189999,42.189999,14842000
2015/1/8,42.562,42.759998,42.001999,42.124001,42.124001,17212500
2015/1/9,41.784,41.995998,40.992001,41.332001,41.332001,23341500
2015/1/12,40.610001,40.894001,39.849998,40.442001,40.442001,29751500
2015/1/13,40.664001,41.521999,40.181999,40.849998,40.849998,22386500
2015/1/14,37.166,39.040001,37,38.537998,38.537998,57759500
2015/1/15,38.897999,39.150002,38,38.374001,38.374001,26082500
2015/1/16,38.139999,38.897999,37.93,38.613998,38.613998,18016000
2015/1/20,38.773998,38.824001,37.408001,38.386002,38.386002,22516000
2015/1/21,37.91,39.736,37.902,39.313999,39.313999,20765000
2015/1/22,39.400002,40.647999,39.040001,40.324001,40.324001,20584500
2015/1/23,40.057999,40.700001,39.666,40.257999,40.257999,17193000
2015/1/26,40.366001,41.723999,40.209999,41.310001,41.310001,16172500
2015/1/27,40.883999,41.605999,40.66,41.195999,41.195999,13905000
2015/1/28,41.222,41.273998,39.683998,39.874001,39.874001,15748000
2015/1/29,40.214001,41.195999,39.299999,41.040001,41.040001,17740500
2015/1/30,40.792,41.493999,40.599998,40.720001,40.720001,15035000
2015/2/2,40.793999,42.389999,40.66,42.188,42.188,20746000
2015/2/3,42.644001,44.074001,42.254002,43.672001,43.672001,24131000
2015/2/4,43.658001,44.296001,43.360001,43.709999,43.709999,16527000
2015/2/5,43.976002,45.096001,43.928001,44.198002,44.198002,17614500
2015/2/6,44.400002,44.68,43.299999,43.472,43.472,16219500
2015/2/9,43.076,43.585999,42.397999,43.495998,43.495998,17362000
2015/2/10,43.509998,44.099998,43,43.257999,43.257999,26952500
2015/2/11,42.442001,42.948002,41.456001,42.560001,42.560001,48845500
2015/2/12,38.714001,40.618,38.655998,40.576,40.576,78248000
2015/2/13,40.580002,41.198002,40.181999,40.754002,40.754002,30955000
2015/2/17,41.139999,41.139999,40.299999,40.869999,40.869999,19898000
2015/2/18,40.834,41.234001,40.52,40.891998,40.891998,13568000
2015/2/19,41,42.487999,40.75,42.341999,42.341999,25770500
2015/2/20,42.155998,43.52,41.962002,43.422001,43.422001,29910500
2015/2/23,43.132,43.639999,41.265999,41.467999,41.467999,42499000
2015/2/24,41.458,41.458,40.34,40.821999,40.821999,33018000
2015/2/25,40.987999,41.428001,40.515999,40.751999,40.751999,19547500
2015/2/26,40.799999,42.217999,40.444,41.438,41.438,32364500
2015/2/27,41.380001,41.709999,40.560001,40.667999,40.667999,19410500
2015/3/2,40.540001,40.667999,39.166,39.466,39.466,39610500
2015/3/3,39.362,40.048,39.063999,39.911999,39.911999,22161500
2015/3/4,39.849998,40.504002,39.442001,40.487999,40.487999,21110000
2015/3/5,40.57,41.237999,40.029999,40.125999,40.125999,24385000
2015/3/6,39.841999,40.150002,38.43,38.776001,38.776001,33562000
2015/3/9,38.877998,38.897999,37.650002,38.175999,38.175999,33683500
2015/3/10,37.692001,38.700001,37.52,38.063999,38.063999,27898500
2015/3/11,38.23,39.236,38.202,38.748001,38.748001,24874500
2015/3/12,38.75,38.889999,37.950001,38.214001,38.214001,20746500
2015/3/13,37.790001,38.349998,37.464001,37.736,37.736,27171500
2015/3/16,38.400002,39.181999,37.959999,39.139999,39.139999,28144000
2015/3/17,39.085999,39.742001,38.787998,38.945999,38.945999,24470500
2015/3/18,38.992001,40.175999,38.622002,40.141998,40.141998,24104500
2015/3/19,40.400002,40.917999,38.905998,39.130001,39.130001,42376000
2015/3/20,39.490002,39.798,39.124001,39.616001,39.616001,21347500
2015/3/23,39.700001,40.099998,39.493999,39.925999,39.925999,13158000
2015/3/24,40.316002,40.757999,39.950001,40.344002,40.344002,18249500
2015/3/25,39.653999,39.717999,38.540001,38.860001,38.860001,28652000
2015/3/26,38.784,38.958,37.939999,38.082001,38.082001,20640000
2015/3/27,37.813999,37.858002,36.279999,37,37,43024500
2015/3/30,37.169998,38.450001,36.360001,38.113998,38.113998,50447500
2015/3/31,38.706001,38.751999,37.681999,37.754002,37.754002,25133000
2015/4/1,37.740002,38.459999,37.209999,37.518002,37.518002,18973000
2015/4/2,38.046001,38.646,38,38.200001,38.200001,25052000
2015/4/6,39.599998,41.549999,39.5,40.619999,40.619999,62279000
2015/4/7,40.501999,41.012001,40.228001,40.650002,40.650002,21739500
2015/4/8,41.639999,42.18,41.174,41.534,41.534,31515500
2015/4/9,41.686001,42.074001,41.223999,42.018002,42.018002,19001000
2015/4/10,41.970001,42.330002,41.799999,42.18,42.18,20338500
2015/4/13,42.088001,42.599998,41.810001,41.956001,41.956001,18791000
2015/4/14,41.714001,41.897999,41.099998,41.492001,41.492001,15130000
2015/4/15,41.492001,41.917999,41.32,41.566002,41.566002,9762000
2015/4/16,41.540001,41.834,41.257999,41.34,41.34,8295500
